"FileName","FullPath","Status","Message","ShowCardFileName","ShowCardSrc"
"Beau-Lief-Chapel.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Beau-Lief-Chapel.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Big-Duck.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Big-Duck.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Dog-Face-Shell.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Dog-Face-Shell.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Duck-Mermaid.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Duck-Mermaid.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"dum.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\dum.html","ERROR","Could not find Additional Online Circulation insertion point.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Elefanka-on-her-High-Horse.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Elefanka-on-her-High-Horse.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Eyeball-DNA-Dock.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Eyeball-DNA-Dock.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Fairy-Snail.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Fairy-Snail.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Flower-Girl-Profile.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Flower-Girl-Profile.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Flower-Mermaid.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Flower-Mermaid.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Graff-Mousemask.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Graff-Mousemask.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Gridiron-Grab.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Gridiron-Grab.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Kaiju-Clown.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Kaiju-Clown.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Lil-Bigfoot.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Lil-Bigfoot.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"MC-Snowglobe.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\MC-Snowglobe.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Paws-Profile.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Paws-Profile.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Rabbbit-Flower.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Rabbbit-Flower.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Santa-Flower.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Santa-Flower.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Slo-Moe-Evolution.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Slo-Moe-Evolution.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"Temper-Tot.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\Temper-Tot.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
"The-Ugliest-Man-in-the-Universe.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2026\The-Ugliest-Man-in-the-Universe.html","CHANGED","Showcard section added.","delusionalframes-exhibition.jpg","../../../../images/Paintings/2020s/2026/delusionalframes-exhibition.jpg"
