"FileName","Extension","RelativePath","SizeBytes","SizeKB","LastWriteTime"
"arm-n-hammer-logo.png",".png","images/Paintings/Web-Documentation3/arm-n-hammer-logo.png","44772","43.7","2026-05-05 05:30:26"
"buzz-bee.jpg",".jpg","images/Paintings/Web-Documentation3/buzz-bee.jpg","278927","272.4","2026-05-05 05:30:26"
"cap-crunch.jpg",".jpg","images/Paintings/Web-Documentation3/cap-crunch.jpg","88268","86.2","2026-05-05 05:30:26"
"Comic_Book_-_The_Joker_(1940).jpg",".jpg","images/Paintings/Web-Documentation3/Comic_Book_-_The_Joker_(1940).jpg","31967","31.2","2026-05-05 05:30:26"
"count-chocula.jpg",".jpg","images/Paintings/Web-Documentation3/count-chocula.jpg","140409","137.1","2026-05-05 05:30:26"
"dig-em.jpg",".jpg","images/Paintings/Web-Documentation3/dig-em.jpg","114900","112.2","2026-05-05 05:30:26"
"DisneyCheshireCat.webp",".webp","images/Paintings/Web-Documentation3/DisneyCheshireCat.webp","63844","62.3","2026-05-05 05:30:26"
"elefankaWIP.JPG",".JPG","images/Paintings/Web-Documentation3/elefankaWIP.JPG","19351058","18897.5","1999-12-31 23:01:18"
"franken-berry.jpg",".jpg","images/Paintings/Web-Documentation3/franken-berry.jpg","192537","188","2026-05-05 05:30:26"
"Good-Fortune-Fat-Buddha-Statues.jpg",".jpg","images/Paintings/Web-Documentation3/Good-Fortune-Fat-Buddha-Statues.jpg","101073","98.7","2026-05-05 05:30:26"
"hawaiian-punch-logo.png",".png","images/Paintings/Web-Documentation3/hawaiian-punch-logo.png","35524","34.7","2026-05-05 05:30:26"
"homer-simpson.jpg",".jpg","images/Paintings/Web-Documentation3/homer-simpson.jpg","127432","124.4","2026-05-05 05:30:26"
"Huckleberry-Hound.png",".png","images/Paintings/Web-Documentation3/Huckleberry-Hound.png","106099","103.6","2026-05-05 05:30:26"
"krusty.jpg",".jpg","images/Paintings/Web-Documentation3/krusty.jpg","27419","26.8","2026-05-05 05:30:26"
"Le_Penseur.jpg",".jpg","images/Paintings/Web-Documentation3/Le_Penseur.jpg","30488","29.8","2026-05-05 05:30:26"
"lucky-leprochan.jpg",".jpg","images/Paintings/Web-Documentation3/lucky-leprochan.jpg","56821","55.5","2026-05-05 05:30:26"
"marvin-martian.jpg",".jpg","images/Paintings/Web-Documentation3/marvin-martian.jpg","254064","248.1","2026-05-05 05:30:26"
"mcdonalds-symbol.png",".png","images/Paintings/Web-Documentation3/mcdonalds-symbol.png","113702","111","2026-05-05 05:30:26"
"mickey-mouse-screenshot.jpg",".jpg","images/Paintings/Web-Documentation3/mickey-mouse-screenshot.jpg","694960","678.7","2026-05-05 05:30:26"
"Mobile-oil-pegasus.jpg",".jpg","images/Paintings/Web-Documentation3/Mobile-oil-pegasus.jpg","114070","111.4","2026-05-05 05:30:26"
"mr-monopoly.jpg",".jpg","images/Paintings/Web-Documentation3/mr-monopoly.jpg","9491","9.3","2026-05-05 05:30:26"
"olive-oyl.jpg",".jpg","images/Paintings/Web-Documentation3/olive-oyl.jpg","67746","66.2","2026-05-05 05:30:26"
"Paramount_Pictures_Corporation_logo.png",".png","images/Paintings/Web-Documentation3/Paramount_Pictures_Corporation_logo.png","20905","20.4","2026-05-05 05:30:26"
"PBR-Pabst-Blue-Ribbon-Logo.png",".png","images/Paintings/Web-Documentation3/PBR-Pabst-Blue-Ribbon-Logo.png","358284","349.9","2026-05-05 05:30:26"
"peanuts-group.jpg",".jpg","images/Paintings/Web-Documentation3/peanuts-group.jpg","55448","54.1","2026-05-05 05:30:26"
"popeye-sailor.jpg",".jpg","images/Paintings/Web-Documentation3/popeye-sailor.jpg","79249","77.4","2026-05-05 05:30:26"
"pufnstuf.jpg",".jpg","images/Paintings/Web-Documentation3/pufnstuf.jpg","244911","239.2","2026-05-05 05:30:26"
"quisp.jpg",".jpg","images/Paintings/Web-Documentation3/quisp.jpg","143046","139.7","2026-05-05 05:30:26"
"Robin.webp",".webp","images/Paintings/Web-Documentation3/Robin.webp","65216","63.7","2026-05-05 05:30:26"
"ronald-mcdonald.jpg",".jpg","images/Paintings/Web-Documentation3/ronald-mcdonald.jpg","129152","126.1","2026-05-05 05:30:26"
"snap-crackle-pop.jpg",".jpg","images/Paintings/Web-Documentation3/snap-crackle-pop.jpg","77057","75.3","2026-05-05 05:30:26"
"soccerguernica-artmiami.jpg",".jpg","images/Paintings/Web-Documentation3/soccerguernica-artmiami.jpg","223196","218","2026-05-05 05:30:26"
"Speedy_Gonzales.png",".png","images/Paintings/Web-Documentation3/Speedy_Gonzales.png","189459","185","2026-05-05 05:30:26"
"standard-oil-logo.png",".png","images/Paintings/Web-Documentation3/standard-oil-logo.png","68741","67.1","2026-05-05 05:30:26"
"Starbucks_Corporation_Logo.png",".png","images/Paintings/Web-Documentation3/Starbucks_Corporation_Logo.png","709527","692.9","2026-05-05 05:30:26"
"stitch.jpg",".jpg","images/Paintings/Web-Documentation3/stitch.jpg","274348","267.9","2026-05-05 05:30:26"
"Stormtrooper_(Star_Wars).png",".png","images/Paintings/Web-Documentation3/Stormtrooper_(Star_Wars).png","121821","119","2026-05-05 05:30:26"
"sugar-bear.jpg",".jpg","images/Paintings/Web-Documentation3/sugar-bear.jpg","69238","67.6","2026-05-05 05:30:26"
"Superman_shield.svg.png",".png","images/Paintings/Web-Documentation3/Superman_shield.svg.png","24251","23.7","2026-05-05 05:30:26"
"tom-and-jerry.jpg",".jpg","images/Paintings/Web-Documentation3/tom-and-jerry.jpg","16760","16.4","2026-05-05 05:30:27"
"tony-tiger.jpg",".jpg","images/Paintings/Web-Documentation3/tony-tiger.jpg","76376","74.6","2026-05-05 05:30:27"
"Toshogu_Three_Monkeys.jpg",".jpg","images/Paintings/Web-Documentation3/Toshogu_Three_Monkeys.jpg","571878","558.5","2026-05-05 05:30:26"
"toucan sam.jpg",".jpg","images/Paintings/Web-Documentation3/toucan sam.jpg","64305","62.8","2026-05-05 05:30:27"
"trix.jpg",".jpg","images/Paintings/Web-Documentation3/trix.jpg","98986","96.7","2026-05-05 05:30:27"
"twins-artnet-screenshot.jpg",".jpg","images/Paintings/Web-Documentation3/twins-artnet-screenshot.jpg","362565","354.1","2026-05-05 05:30:27"
"zelefanka-allouche-now-you-see-it-catalog.jpg",".jpg","images/Paintings/Web-Documentation3/zelefanka-allouche-now-you-see-it-catalog.jpg","134730","131.6","2026-05-05 05:30:27"
"zelefanka-camo-allouche-translations-screenshot.jpg",".jpg","images/Paintings/Web-Documentation3/zelefanka-camo-allouche-translations-screenshot.jpg","272163","265.8","2026-05-05 05:30:27"
